X,Y,OBJECTID,FIRE_INVESTIGATION_ID,FIRE_INCIDENT_NUMBER,ADDRESS,FIRE_INCIDENT_DATE,INVESTIGATION_DATE,CASE_TYPE,OBJECT_BURNED,DETERMINATION,HAS_INJURIES,HAS_FATALITIES,HAS_EXPOSURES,STATUS_LAST_UPDATED_DATE,COUNCIL_DISTRICT,NEIGHBORHOOD,CITY,ZIP_CODE,STREET_NUMBER,STREET_PREFIX,STREET_NAME,STREET_TYPE,PARCEL_ID,ADDRESS_ID,LONGITUDE,LATITUDE
-83.147089082187,42.3389829723901,5750,a1d6a870-af47-4b71-85e1-9d78137482fe,19-0029936,8016 Smart Street,2019/08/22,2019/09/02,Investigation,Vehicle,Undetermined,,,False,2019/08/26,,,Detroit,48210,,,,,20009764.,,-83.147089082187,42.3389829723901
-82.943636168703,42.4266060809594,5751,04d45216-a1f1-4099-aaf2-f082640d4fd5,,11644 Beaconsfield Street,2019/08/22,2019/09/07,Non-Fire,Occupied Dwelling,Incendiary,,,False,2019/08/28,,,Detroit,48224,,,,,21065932-3,,-82.943636168703,42.4266060809594
-83.2339676263683,42.3492265009634,5752,9d0ce54d-411f-488f-8ea7-ed16ab2d64a3,19-0029825,7768 Plainview Avenue,2019/08/21,2019/08/22,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/21,,,Detroit,48228,,,,,22093642.,,-83.2339676263683,42.3492265009634
-82.9643434025453,42.4415559730854,5753,75e17454-b3a6-48be-b852-f2dd0bf6fa34,19-0029834,15260 Tacoma Street,2019/08/21,2019/08/22,Investigation,Vacant Dwelling,Incendiary,,,False,2019/08/22,,,Detroit,48205,,,,,21023551.,,-82.9643434025453,42.4415559730854
-83.2318146459498,42.332749556328,5754,7b72594c-bfe3-49a4-adb8-a072c278caaa,19-0029813,6023 Minock Street,2019/08/20,2019/08/22,Investigation,Occupied Dwelling,Incendiary,,,False,2019/08/21,,,Detroit,48228,,,,,22091685.,,-83.2318146459498,42.332749556328
,,5755,acfc8123-9d8f-4647-ad0d-2e5f3e07d998,19-0029806,,2019/08/20,,Investigation,Vehicle,,,,False,2019/08/21,,,Detroit,48227,,,,,,,,
-82.9743540676041,42.4314931882211,5756,876356ad-b3e9-47b8-9e7e-b834071fbdd6,19-0029677,14439 Linnhurst Street,2019/08/19,2019/08/22,Investigation,Vacant Dwelling,Assessment,,,False,2019/08/20,,,Detroit,48205,,,,,21018550.,,-82.9743540676041,42.4314931882211
-82.9639206952359,42.4249882399153,5757,a1fcdca9-35e2-4361-b6ec-8be311f601af,19-0029588,15255 Hazelridge Street,2019/08/19,2019/08/28,Investigation,Occupied Dwelling,Undetermined,,,False,2019/08/20,,,Detroit,48205,,,,,21016245.,,-82.9639206952359,42.4249882399153
-83.0588344895708,42.4394837831668,5758,eaf83eb8-fe03-4130-8767-62c96ea6de62,19-0029601,19688 Justine Street,2019/08/19,2019/08/26,Investigation,Occupied Dwelling,Undetermined,,,False,2019/08/20,,,Detroit,48234,,,,,13018855.,,-83.0588344895708,42.4394837831668
-83.2451842622702,42.3524535420309,5759,478ec8c5-4507-45fd-9a24-53cbd2210e2b,19-0029576,8230 Burt Road,2019/08/19,2019/08/22,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/19,,,Detroit,48228,,,,,22107295.,,-83.2451842622702,42.3524535420309
